Target	Source	weight	Type
P30_ES005022_1	337	0.3675451807228916	Undirected
P30_ES005022_1	394	0.4458584337349398	Undirected
R21_ES020152_2	357	0.625390625	Undirected
R01_ES019325_3	48	0.12513020833333333	Undirected
R01_ES019325_3	59	0.14596354166666667	Undirected
R01_ES019325_3	214	0.27096354166666664	Undirected
R01_ES019325_3	237	0.104296875	Undirected
K23_ES021745_4	149	0.16525229357798166	Undirected
K23_ES021745_4	173	0.11938073394495412	Undirected
K23_ES021745_4	322	0.2661697247706422	Undirected
K23_ES021745_4	323	0.11020642201834861	Undirected
K23_ES021745_4	336	0.13772935779816514	Undirected
R01_ES015981_5	53	0.3762614678899083	Undirected
R01_ES015981_5	345	0.2569954128440367	Undirected
R01_ES002614_6	24	0.1518939393939394	Undirected
R01_ES002614_6	255	0.4246212121212121	Undirected
R01_ES002614_6	285	0.2125	Undirected
R01_ES015252_7	81	0.1948008849557522	Undirected
R01_ES015252_7	204	0.24789823008849557	Undirected
R01_ES015252_7	260	0.2036504424778761	Undirected
R01_CA148996_8	151	0.11976495726495726	Undirected
R01_CA148996_8	174	0.1454059829059829	Undirected
R01_CA148996_8	264	0.1625	Undirected
R01_CA148996_8	323	0.1283119658119658	Undirected
P42_ES004699_9	33	0.5948026315789474	Undirected
P42_ES004699_9	181	0.20532894736842106	Undirected
P42_ES004940_10	99	0.22305743243243245	Undirected
P42_ES004940_10	178	0.12170608108108108	Undirected
P42_ES004940_10	344	0.290625	Undirected
P42_ES004940_10	361	0.12846283783783782	Undirected
P50_CA058223_11	87	0.16320921985815603	Undirected
P50_CA058223_11	165	0.11356382978723403	Undirected
P50_CA058223_11	318	0.41143617021276596	Undirected
P20_GM103436_12	146	0.40049999999999997	Undirected
P20_GM103436_12	233	0.2005	Undirected
P20_GM103436_12	245	0.1605	Undirected
1R21NS082212-01_13	87	0.1706395348837209	Undirected
1R21NS082212-01_13	305	0.10087209302325581	Undirected
1R21NS082212-01_13	320	0.11637596899224806	Undirected
1R21NS082212-01_13	358	0.13963178294573642	Undirected
Z01_CP010119-13_14	27	0.5281	Undirected
Z01_CP010119-13_14	166	0.2881	Undirected
P42_ES007380_15	7	0.1580043859649123	Undirected
P42_ES007380_15	136	0.14923245614035088	Undirected
P42_ES007380_15	180	0.29835526315789473	Undirected
P42_ES007380_15	327	0.2194078947368421	Undirected
P30_ES000002_16	11	0.29697265625	Undirected
P30_ES000002_16	91	0.11728515625	Undirected
P30_ES000002_16	251	0.35166015625	Undirected
P01_ES022832_17	44	0.1518103448275862	Undirected
P01_ES022832_17	186	0.1931896551724138	Undirected
P01_ES022832_17	388	0.26905172413793105	Undirected
P30_CA016086_18	115	0.100625	Undirected
P30_CA016086_18	292	0.45062499999999994	Undirected
P30_CA016086_18	306	0.150625	Undirected
R01_ES020361_19	1	0.1277482269503546	Undirected
R01_ES020361_19	216	0.3476063829787234	Undirected
R01_ES020361_19	230	0.1348404255319149	Undirected
R01_ES020361_19	336	0.11356382978723403	Undirected
R01_ES003358_20	244	0.5001225490196078	Undirected
R01_ES003358_20	347	0.21580882352941175	Undirected
R01_ES003358_20	352	0.11776960784313725	Undirected
P42_ES017198_21	192	0.19305555555555556	Undirected
R15_ES019137_22	43	0.13707191780821917	Undirected
R15_ES019137_22	100	0.10282534246575342	Undirected
R15_ES019137_22	133	0.10967465753424657	Undirected
R15_ES019137_22	271	0.13022260273972602	Undirected
R15_ES019137_22	303	0.15077054794520547	Undirected
R01_ES021764_23	345	0.48881578947368426	Undirected
R01_ES021764_23	352	0.11287593984962406	Undirected
L30_ES016988_24	13	0.11027542372881355	Undirected
L30_ES016988_24	166	0.26281779661016946	Undirected
L30_ES016988_24	179	0.1356991525423729	Undirected
L30_ES016988_24	250	0.19502118644067795	Undirected
K01_ES025434_25	92	0.3893456375838926	Undirected
K01_ES025434_25	350	0.20813758389261744	Undirected
R01_CA140409_26	43	0.3292701863354037	Undirected
R01_CA140409_26	112	0.18641304347826088	Undirected
R01_CA140409_26	137	0.13051242236024843	Undirected
P01_ES006052_27	253	0.1549107142857143	Undirected
P01_ES006052_27	352	0.4644345238095238	Undirected
K01_ES025435_28	61	0.1113888888888889	Undirected
K01_ES025435_28	206	0.4447222222222222	Undirected
K01_ES025435_28	210	0.1113888888888889	Undirected
R01_HD033438_29	70	0.23971354166666667	Undirected
R01_HD033438_29	219	0.104296875	Undirected
R01_HD033438_29	340	0.20846354166666667	Undirected
R01_ES010975_30	103	0.4014455782312925	Undirected
R01_ES010975_30	138	0.18375850340136055	Undirected
I01_BX001357_31	205	0.24469424460431657	Undirected
I01_BX001357_31	243	0.1295863309352518	Undirected
I01_BX001357_31	336	0.23750000000000002	Undirected
R01_GM066225_32	187	0.47239583333333335	Undirected
R01_GM066225_32	204	0.15295138888888887	Undirected
R01_GM066225_32	346	0.16684027777777777	Undirected
R01_AG024984_33	74	0.27812499999999996	Undirected
R01_AG024984_33	82	0.22256944444444443	Undirected
R01_AG024984_33	180	0.19479166666666667	Undirected
R01_AG024984_33	291	0.11145833333333334	Undirected
R01_ES020337_34	132	0.282358870967742	Undirected
R01_ES020337_34	192	0.12106854838709677	Undirected
R01_ES012716_35	61	0.40013888888888893	Undirected
R01_ES012716_35	393	0.43347222222222226	Undirected
P01_ES022844_36	102	0.12317307692307691	Undirected
P01_ES022844_36	143	0.14625	Undirected
P01_ES022844_36	174	0.18471153846153845	Undirected
P01_ES022844_36	269	0.1308653846153846	Undirected
P01_ES022844_36	321	0.2924038461538462	Undirected
R21_ES017121_37	182	0.40025	Undirected
R21_ES017121_37	255	0.34025	Undirected
P01_ES009600_38	85	0.400843253968254	Undirected
P01_ES009600_38	212	0.17862103174603175	Undirected
