GrantID	Date	FY.Q	FY	ID
P30 ES005022	2015-05-16	2015.3	2015	P30_ES005022_1
R21 ES020152	2015-05-15	2015.3	2015	R21_ES020152_2
R01 ES019325	2015-05-13	2015.3	2015	R01_ES019325_3
K23 ES021745	2015-05-12	2015.3	2015	K23_ES021745_4
R01 ES015981	2015-05-11	2015.3	2015	R01_ES015981_5
R01 ES002614	2015-05-11	2015.3	2015	R01_ES002614_6
R01 ES015252	2015-05-10	2015.3	2015	R01_ES015252_7
R01 CA148996	2015-05-10	2015.3	2015	R01_CA148996_8
P42 ES004699	2015-05-10	2015.3	2015	P42_ES004699_9
P42 ES004940	2015-05-09	2015.3	2015	P42_ES004940_10
P50 CA058223	2015-05-09	2015.3	2015	P50_CA058223_11
P20 GM103436	2015-05-09	2015.3	2015	P20_GM103436_12
1R21NS082212-01	2015-05-09	2015.3	2015	1R21NS082212-01_13
Z01 CP010119-13	2015-05-08	2015.3	2015	Z01_CP010119-13_14
P42 ES007380	2015-05-08	2015.3	2015	P42_ES007380_15
P30 ES000002	2015-05-06	2015.3	2015	P30_ES000002_16
P01 ES022832	2015-05-06	2015.3	2015	P01_ES022832_17
P30 CA016086	2015-05-03	2015.3	2015	P30_CA016086_18
R01 ES020361	2015-05-02	2015.3	2015	R01_ES020361_19
R01 ES003358	2015-05-02	2015.3	2015	R01_ES003358_20
P42 ES017198	2015-05-02	2015.3	2015	P42_ES017198_21
R15 ES019137	2015-05-02	2015.3	2015	R15_ES019137_22
R01 ES021764	2015-05-01	2015.3	2015	R01_ES021764_23
L30 ES016988	2015-05-01	2015.3	2015	L30_ES016988_24
K01 ES025434	2015-04-30	2015.3	2015	K01_ES025434_25
R01 CA140409	2015-04-30	2015.3	2015	R01_CA140409_26
P01 ES006052	2015-04-30	2015.3	2015	P01_ES006052_27
K01 ES025435	2015-04-30	2015.3	2015	K01_ES025435_28
R01 HD033438	2015-04-29	2015.3	2015	R01_HD033438_29
R01 ES010975	2015-04-29	2015.3	2015	R01_ES010975_30
I01 BX001357	2015-04-29	2015.3	2015	I01_BX001357_31
R01 GM066225	2015-04-29	2015.3	2015	R01_GM066225_32
R01 AG024984	2015-04-29	2015.3	2015	R01_AG024984_33
R01 ES020337	2015-04-29	2015.3	2015	R01_ES020337_34
R01 ES012716	2015-04-29	2015.3	2015	R01_ES012716_35
P01 ES022844	2015-04-29	2015.3	2015	P01_ES022844_36
R21 ES017121	2015-04-29	2015.3	2015	R21_ES017121_37
P01 ES009600	2015-04-29	2015.3	2015	P01_ES009600_38
R21 AI101375	2015-04-26	2015.3	2015	R21_AI101375_39
K99 ES022243	2015-04-25	2015.3	2015	K99_ES022243_40
P01 ES022844	2015-04-25	2015.3	2015	P01_ES022844_41
R01 ES012054	2015-04-24	2015.3	2015	R01_ES012054_42
DP1 ES024088	2015-04-24	2015.3	2015	DP1_ES024088_43
R01 ES008739	2015-04-24	2015.3	2015	R01_ES008739_44
R01 ES014639	2015-04-23	2015.3	2015	R01_ES014639_45
P01 CA134294	2015-04-23	2015.3	2015	P01_CA134294_46
P42 ES017198	2015-04-22	2015.3	2015	P42_ES017198_47
P30 ES001247	2015-04-22	2015.3	2015	P30_ES001247_48
P30 ES000260	2015-04-22	2015.3	2015	P30_ES000260_49
R01 ES007331	2015-04-22	2015.3	2015	R01_ES007331_50
R01 AI104459	2015-04-22	2015.3	2015	R01_AI104459_51
P01 ES022844	2015-04-22	2015.3	2015	P01_ES022844_52
P01 ES022831	2015-04-22	2015.3	2015	P01_ES022831_53
U54 ES015678	2015-04-22	2015.3	2015	U54_ES015678_54
R01 ES024681	2015-04-22	2015.3	2015	R01_ES024681_55
R01 ES019876	2015-04-19	2015.3	2015	R01_ES019876_56
DP2 OD007420	2015-04-19	2015.3	2015	DP2_OD007420_57
N01-ES75558	2015-04-19	2015.3	2015	N01-ES75558_58
R01 ES019179	2015-04-18	2015.3	2015	R01_ES019179_59
K23 ES017437	2015-04-18	2015.3	2015	K23_ES017437_60
R01 ES022172	2015-04-18	2015.3	2015	R01_ES022172_61
R01 ES015864	2015-04-18	2015.3	2015	R01_ES015864_62
P42 ES007373	2015-04-18	2015.3	2015	P42_ES007373_63
R01 ES020260	2015-04-18	2015.3	2015	R01_ES020260_64
KL2 RR026315	2015-04-18	2015.3	2015	KL2_RR026315_65
K25 HL103970	2015-04-18	2015.3	2015	K25_HL103970_66
K01 ES025432	2015-04-18	2015.3	2015	K01_ES025432_67
R01 HL031197	2015-04-18	2015.3	2015	R01_HL031197_68
P30 CA051008	2015-04-17	2015.3	2015	P30_CA051008_69
P42 ES007380	2015-04-17	2015.3	2015	P42_ES007380_70
K12 HD043451	2015-04-16	2015.3	2015	K12_HD043451_71
R01 ES023209	2015-04-15	2015.3	2015	R01_ES023209_72
P42 ES010337	2015-04-15	2015.3	2015	P42_ES010337_73
R01 CA164095	2015-04-15	2015.3	2015	R01_CA164095_74
R15 ES019991	2015-04-15	2015.3	2015	R15_ES019991_75
P01 ES011860	2015-04-15	2015.3	2015	P01_ES011860_76
P01 CA090890	2015-04-14	2015.3	2015	P01_CA090890_77
R44 ES021973	2015-04-14	2015.3	2015	R44_ES021973_78
P30 AR066527	2015-04-14	2015.3	2015	P30_AR066527_79
P20 GM103549	2015-04-14	2015.3	2015	P20_GM103549_80
R01 ES017039	2015-04-14	2015.3	2015	R01_ES017039_81
R01 ES016746	2015-04-14	2015.3	2015	R01_ES016746_82
P20 MD003373	2015-04-13	2015.3	2015	P20_MD003373_83
R01 ES010165	2015-04-12	2015.3	2015	R01_ES010165_84
P30 ES007048	2015-04-12	2015.3	2015	P30_ES007048_85
R15 ES023148	2015-04-12	2015.3	2015	R15_ES023148_86
K01 ES025434	2015-04-11	2015.3	2015	K01_ES025434_87
P01 CA160032	2015-04-11	2015.3	2015	P01_CA160032_88
R01ES021367	2015-04-11	2015.3	2015	R01ES021367_89
R01 ES016336	2015-04-11	2015.3	2015	R01_ES016336_90
R01 ES017793	2015-04-11	2015.3	2015	R01_ES017793_91
