ID	Alpha	Terms
0	0.0125	fetal placenta pregnancies maternal growth gestating preeclampsia pregnant fetus human develop adverse intrauterine trophoblast function restrict uterine cord utero trimester 
1	0.0125	week post anima inject dose treat expose pre hour observability point level salinarius combination pig receive administer mice prior later 
2	0.0125	modifcation translatability trna codon modifiable post hmc tet methylcytosine synthetase specific hydroxymethylcytosine response interact posit cac rpl cytosine ribonucleoside har 
3	0.0125	local within region distribute spatial pattern specific locate structural temporal segment along correlate single dimension form asymmetric gradient proximal close 
4	0.0125	tce water dca trichloroethylene drink tca osteoarthritic joint week solvent disinfectants contaminant pce dichloroacetate knee trichloroacetate radiograph chlorinate tetrachloroethylene cartilage 
5	0.0125	contaminant flow mass column groundwater vapor transport soil source aquifer experience organ system water field intrusion zone removable distribute conduct 
6	0.0125	elegans caenorhabditis lifespan life worm longevity span nematoda anima model genet age conservation transgender organ daf restrict extend skn mammalian 
7	0.0125	toxic test toxicologic assess approach human model vitro anima risk develop pathway evaluable predict data response compound adverse assay strategic 
8	0.0125	mrna level transcript translatability rna chain mrnas ttp real reaction post polymerase utr reversal quantitate stabilisation encode region fold upregulate 
9	0.0125	notch regenerability wound progenitor differentiability proliferate adult heal neural neurogenesis stem fate maturation repair develop zone pathway mice posit observability 
10	0.0125	inhibit anti cancer compound agent chemopreventative vivo vitro action natural inhibitor quercetin target prevent potent growth human properties phytochemical proliferate 
11	0.0125	metabolite metabolic human liver enzymatic microsomal rat format oxidant conjugacy cytochrome pathway toxic hydroxyl incubated hydroxide nmol glucuronidase min biotransform 
12	0.0125	melanoma melanocyte biotin human hcs pigment mcr biotinyl primarily lkb malign melanocortin metastatic synthetase fisetin comparability cutaneous sun hlcs holocarboxylase 
13	0.0125	immune response suppress system function lymphocyte innate spleen alter mediate immunotoxic antibodies humor immunosuppressant cytokine treg immunologic evaluable adapt modular 
14	0.0125	model predict parameter simulant data valuable fit evaluable develop three distribute comparability set assess approach linear accuracies relationship measurable coefficient 
15	0.0125	mediate drosophila select interact indirect natural melanogaster act possible might affect common allow require way pathway dvmat flia question presence 
16	0.0125	smoke cigarette tobacco smoker cotinine cse shs expose secondhand nonsmokers never risk current nicotinamide cessation extract prevalence pack former epidemiologic 
17	0.0125	telomerase length wrn traf repeat trf dna tert shorten pot human shorter rich chromosomal quadruplex age werner single maintenance end 
18	0.0125	frequencies assay genotoxic mutat pig dose blood mutant mutagen erythrocyte evaluable endpoint vivo damage ret reticulocyte micronucleus flow rat cytometric 
19	0.0125	nicotinamide nachr receptor acetylcholine adenine cholinergic dinucleotide neonicotinoid ach cyanide subunit subtype konzo chrna function phosphatase cassava allosteric modular neuron 
20	0.0125	stem differentiability embryonal pluripotency human derivation lineage renew reprogram self develop esc ipsc factor progenitor mouse marker neural hesc state 
21	0.0125	filter component principal pca macropore layer multiple penetrance rcm capacitance consist glass serial due stratification total mat sub stand material 
22	0.0125	cancer tumor breast metastasis invasibility progress carcinoma line human model epithelia metastatic normal basal growth luminal tumorigenesis mcf develop malign 
23	0.0125	behavior social aggression brain message prefer select like feed interact influence avoid larva trait display experience video factor btbr external 
24	0.0125	polymorph genotype variant risk snps genet nucleotidases single haplotype snp susceptibilities individual function interact variate pathway modifiable common influence region 
25	0.0125	methyl dna global line element level blood epigenetic alu repetition genome measurable cancer retrotransposon individual wbc hypomethylate repeat correlate sat 
26	0.0125	amyloid alzheimer disease tau level cognitin dementia pathologic abeta brain precursor reduce app plaque impair leptin bace ohc csf neurodegeneration 
27	0.0125	follicle mxc antral growth level inhibit atresia steroidogenesis ovarian estradiol methoxychlor culturable flight mono data mouse comparability aircraft esr test 
28	0.0125	membrane transport permeable epithelia across basement extracellular demonstrable pnp apical outer side basolateral plasma secret volume surface flux diffuse modifiable 
29	0.0125	asbestos fiber mesothelioma pleural malign disease causal human mesothelial chrysotile fibrosing asbestosis pathogen expose amphibole camptothecin peritoneal determinant crocidolite chronic 
30	0.0125	calculate atom theories molecular electron absolute densities configuration energies multipolar bond ecd dft geometric spectra circular charge computable method angle 
31	0.0125	redox oxidant thiol disulfide cystein cys thioredoxin trx trxr reduce state reductase system function sensitisation peroxiredoxin glutathion prx reversal residual 
32	0.0125	disorder adhd problem children attention parent behavior hyperactivated deficit childhood age adolescence eat preschool prevalence girl symptom diagnosable vpa child 
33	0.0125	nanoparticle nanomaterial nps particle toxic nano engine tio enm silver properties surface biolog size material agnp coat nanotechnological zno applicability 
34	0.0125	hair inrf keratin hear loss rbx mcc cul merkel noise nail shaft indicate lead cochlear polyomavirus normal follicle skin complex 
35	0.0125	atherosclerosis multi carotid arterial ethnic thick mesa media allosteric intima oligomer pbgs hexamer cimt subclinical hyperemesis octamer equilibrium assemblage predict 
36	0.0125	mutat dna replica genome error strand mismatch mutagenesis mmr repair frequencies somata sequence mutagen strain genet substitute generate lead fidelities 
37	0.0125	phase vapor solid gas pressure mixture liquid system formula transit temperature measurable enthalpic area see fluid behavior theories depend interfacial 
38	0.0125	dhc oxysterol cholesterol tautomer dehydrocholesterol syndrome slos hydroxycholesterol dhcr derivation lemeshow smith salmonella opitz identifiability oxidant hydroxide dhceo primarily level 
39	0.0125	dna pair adduct sequence duplex structural guanine bond lesion dguo conform form deoxyguanosin observability groove contain neighbor ring minor context 
40	0.0125	hne acrolein aldehyde lipid adduct electrophile peroxidase oxidant hydroxide nonen mda hydroxynonenal reactivant stress modifiable conjugacy derivation format generate catabolic 
41	0.0125	transplant donor graft csa recipient immunosuppressant reject coral organ host bbd develop pelvic van allograft cyclosporin syndrome calcineurin gvhd mds 
42	0.0125	causal sufficiency interact interfere presence given framework consider condition infer individual model rage assumption discuss evidence empiric affect set interest 
43	0.0125	cpf ach chlorpyrifos inhibit toxic acetylcholinesterase oxon pesticide organophosphorus cpo cholinesterase parathion paraoxon organophosphatases enzymatic insecticidal bche determinant repeat che 
44	0.0125	neuron axon nerve synaptic hippocampal dendrite function plastic peripheral alter rat nervous slice sensori system myelin growth morphologic synapse depend 
45	0.0125	jnk kinase jun mapk phosphoryl pathway terminal inhibit erk mitogen mkk inhibitor depend mediate tak inducted map suppress transcript involve 
46	0.0125	health human risk toxic adverse impact concern evidence anima public review maniculatus level develop limit epidemiologic environ due assess causal 
47	0.0125	cancer drug cisplatin resist chemotherapies agent sensitisation combination doxorubicin chemotherapeutic cytotox tumor anticancer dox therapies enhance line human paclitaxel kill 
48	0.0125	epithelia gland develop uterine endometria growth proliferate fgf stromal factor epithelium differentiability normal receptor bud decidua hyperplasia uterus implant mouse 
49	0.0125	repeat corf daphnia expansa cftd nkx pulex translatability magna expand causal rna crustacean foci transcript prox antisense four detect bind 
50	0.0125	pkcδ degenerate kinase disc model amd pkc death causal vanadium proteolytic age key pcd oxidant macular factor chronic αsyn stress 
51	0.0125	mtbe polyketide paraben synthase butyl methyl tert tba ether biosynthesis enzymatic phenol biosynthetic bio chain domain pks pdcb intermedia enediyne 
52	0.0125	mass spectrometric chromatographic metabolite liquid metabolome ion detect identifcation tandem identifiability resolution profile character ionizable structural fragment analyze spectral spectra 
