Source	Target	WordWeight
0	develop	84.01
0	play	2.01
0	address	1.01
0	measurable	11.01
0	remain	17.01
0	factor	8.01
0	program	10.01
0	alter	11.01
0	risk	20.01
0	human	86.01
0	growth	150.01
0	cfu	2.01
0	mediate	7.01
0	across	5.01
0	evidence	28.01
0	genet	1.01
0	quantifiable	13.01
0	success	6.01
0	variate	1.01
0	method	1.01
0	late	16.01
0	although	16.01
0	influence	6.01
0	determinant	13.01
0	function	44.01
0	might	6.01
0	source	7.01
0	mark	4.01
0	grow	4.01
0	interface	25.01
0	environ	12.01
0	impact	21.01
0	condition	6.01
0	versus	12.01
0	compromise	3.01
0	current	2.01
0	glycogen	1.01
0	compartment	8.01
0	interest	7.01
0	treat	2.01
0	development	16.01
0	prevalence	2.01
0	sex	1.01
0	like	31.01
0	million	1.01
0	harm	5.01
0	substance	19.01
0	pregnant	105.01
0	women	36.01
0	accumulate	1.01
0	given	1.01
0	involve	13.01
0	carriage	5.01
0	resveratrol	1.01
0	third	2.01
0	necessarily	1.01
0	weight	11.01
0	second	13.01
0	note	10.01
0	extent	9.01
0	close	3.01
0	origin	4.01
0	disorder	29.01
0	mutual	1.01
0	link	3.01
0	brain	8.01
0	sensitisation	2.01
0	perturb	8.01
0	occur	4.01
0	reflect	5.01
0	prenatal	25.01
0	term	23.01
0	embryo	13.01
0	future	1.01
0	restrict	43.01
0	xenograft	3.01
0	hypothesis	10.01
0	infant	13.01
0	epidemiologic	12.01
0	difficult	1.01
0	despite	5.01
0	transfer	22.01
0	approximate	8.01
0	appropriate	4.01
0	ubiquitin	6.01
0	unclear	10.01
0	aim	14.01
0	undergo	4.01
0	normal	3.01
0	therefore	3.01
0	plasma	5.01
0	kill	2.01
0	adverse	53.01
0	pregnancies	301.01
0	allow	5.01
0	content	2.01
0	fresh	1.01
0	passivate	1.01
0	onto	1.01
0	complicate	25.01
0	fetal	525.01
0	utero	37.01
0	birth	34.01
0	lep	7.01
0	axial	3.01
0	primarily	1.01
0	fluid	14.01
0	section	1.01
0	consequence	10.01
0	unknown	7.01
0	hypotheses	22.01
0	place	1.01
0	parturition	12.01
0	diet	1.01
0	cross	13.01
0	mother	9.01
0	silence	1.01
0	hypertension	36.01
0	recombinant	1.01
0	object	5.01
0	five	1.01
0	mechanistic	1.01
0	universal	1.01
0	gestating	144.01
0	maintenance	8.01
0	replete	3.01
0	peri	1.01
0	mid	1.01
0	sac	11.01
0	cord	37.01
0	extra	5.01
0	medicinal	1.01
0	preterm	6.01
0	proteinuria	3.01
0	circular	6.01
0	yolk	10.01
0	maternal	265.01
0	newborn	8.01
0	proper	10.01
0	compatibility	6.01
0	pre	2.01
0	placenta	450.01
0	trimester	36.01
0	extravillous	5.01
0	trophoblast	45.01
0	htr	13.01
0	svneo	11.01
0	hypox	3.01
0	pmaip	1.01
0	perinatal	15.01
0	manifest	5.01
0	sparse	1.01
0	empower	1.01
0	perfluoroalkyl	14.01
0	intrauterine	48.01
0	deprivation	1.01
0	cesarean	1.01
0	relax	5.01
0	amniote	33.01
0	fetus	101.01
0	interrelated	1.01
0	labor	14.01
0	postglandular	2.01
